RAZON_SOCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO,MOVIL,FIJO,CORREO,WEB,RUC,DIRECCION
COOPERATIVA AGROINDUSTRIAL MACHUPICCHU LTDA. - CAGMA,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,COOPERATIVAS AGROINDUSTRIALES,988262628,083-422142,COOPERATIVA.MACHUPICCHU@GMAIL.COM,WWW.COOPERATIVACAGMA.COM,20490810146,AVENIDA LEONCIO PRADO 333 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES SUR ANDINO - COOPSUR,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,COOPERATIVAS AGRARIAS,978845838,,COOPSUR15@GMAIL.COM,,20601006368,AVENIDA LEONCIO PRADO SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE PRODUCTORES ORGANICOS DE LA SIERRA,AYACUCHO,HUAMANGA,AYACUCHO,COOPERATIVAS AGRARIAS,966636202,066-312242,COOPRAOS@HOTMAIL.COM,,20534847352,OTRO BASILIO AUQUI SN Interior  Piso 1 Mza J Lote 16 B Km
COOPERATIVA AGRARIA VENCEDORES DE AYACUCHO LTDA.,AYACUCHO,HUAMANGA,AYACUCHO,COOPERATIVAS AGRARIAS,943247000,066-318787,IRJAYACUCHO@HOTMAIL.COM,,20494602106,OTRO MARIA PARADO DE BELLIDO 150 Interior  Piso 3 Mza  Lote  Km
COOPERATIVA AGRARIA DE PRODUCTORES DE CULTIVOS ANDINOS DE SAN ANTONIO DE MANALLASACC-CHIARA-HGA-AYAC,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,COOPERATIVAS AGRARIAS,990303463,,DOGUI_225@HOTMAIL.COM.PE,,20601576181,JIRÓN MICAELA BASTIDAS 428 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE PRODUCTORES DE CULTIVOS ANDINOS CHIARA,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,COOPERATIVAS AGRARIAS,966505009,,,,20600881150,AVENIDA MALVINAS 280 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE PRODUCTORES ORGANICOS EL APU CHULLO DEL DISTRITO DE ACOCRO LTDA.,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,COOPERATIVAS AGRARIAS,966636669,,COOPEARATIVAELAPUCHULLO@GMAIL.COM,WWW.COOPERATIVAAPUCHULLO.COM,20600828585,OTRO LAS AMERICAS SN Interior  Piso 3 Mza C Lote 10D Km
COOPERATIVA AGRARIA DE PRODUCTORES DEL DISTRITO DE TAMBILLO,AYACUCHO,HUAMANGA,TAMBILLO,COOPERATIVAS AGRARIAS,950028608,,JESCALANTEE@OUTLOOK.COM,,20601377781,CARRETERA CARRETERA ANDAHUAYLAS SN Interior  Piso 1 Mza  Lote  Km 27
COOPERATIVA AGRARIA CAFETALERA EL QUINACHO LTDA.N° 78,AYACUCHO,HUANTA,SIVIA,COOPERATIVAS AGRARIAS CAFETALERAS,966958618,066-635689,CAC_ELQUINACHO@YAHOO.ES,,20143692010,AVENIDA QUINACHO SN Interior  Piso 1 Mza V Lote 1 Km
COOPERATIVA AGRARIA CAFET VALLE RIO APURIMAC,AYACUCHO,LA MAR,AYNA,COOPERATIVAS AGRARIAS CAFETALERAS,966666471,,CACVRA@YAHOO.ES,,20129156083,AVENIDA 28 DE JULIO 004 Interior  Piso 3 Mza  Lote  Km
COOPERATIVA AGRARIA LA MORADA LTDA. N° 148,HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,COOPERATIVAS AGRARIAS,964149700,,COOPERATIVAAGRARIALAMORADA@GMAIL.COM,,20600776968,"AVENIDA 14 DE JUNIO 309 Interior  Piso 1 Mza K Lote 1,2 Km"
COOPERATIVA AGRARIA BELLA DURMIENTE LTDA.,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,COOPERATIVAS AGRARIAS,991988664,,DCALDASCAMACHO@GMAIL.COM,WWW.CABELLADURMIENTE.SIMPLESITE.COM,20573334648,CARRETERA CENTRAL TINGO MARIA HUANUCO_ LAS PALMAS SN Interior  Piso 1 Mza  Lote  Km 17
COOPERATIVA AGRARIA CACAOTERA PUERTO INCA,HUANUCO,PUERTO INCA,PUERTO INCA,COOPERATIVAS AGRARIAS,997762765,,COOPACPI@HOTMAIL.COM,,20573049102,JIRÓN LAS PALMERAS SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE TRABAJADORES DE PUERTO CIRA,HUANUCO,PUERTO INCA,PUERTO INCA,COOPERATIVAS AGRARIAS,940498722,062-830167,,,20222136360,OTRO PUERTO SIRA SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA LA FLORIDA,JUNIN,CHANCHAMAYO,CHANCHAMAYO,COOPERATIVAS AGRARIAS CAFETALERAS,996651584,064-531190,GERENCIA.CACLAFLORIDA@GMAIL.COM,WWW.CACLAFLORIDA.COM,20140181405,AVENIDA PERU 430 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA PERENE,JUNIN,CHANCHAMAYO,CHANCHAMAYO,COOPERATIVAS AGRARIAS CAFETALERAS,927997648,064-335283,JROMERO@COOPERENE.COM,,20130376127,AVENIDA PERU 545 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROINDUSTRIAL DE PRODUCTORES ECOLOGICOS GRANO DE ORO,JUNIN,CHANCHAMAYO,PICHANAQUI,COOPERATIVAS AGROINDUSTRIALES,962545448,064-347898,EXPORTCOFFEE_CAPEGO@HOTMAIL.COM,,20568660278,JIRÓN LA PAZ C18B Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE MUJERES PRODUCTORAS DE CAFE - PICHANAKI,JUNIN,CHANCHAMAYO,PICHANAQUI,COOPERATIVAS AGRARIAS CAFETALERAS,954644243,,CAMPCPKI@GMAIL.COM,,20568633629,AVENIDA SANTA ROSA 622 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA ANTARO MARERIAKI - PERU,JUNIN,CHANCHAMAYO,PICHANAQUI,COOPERATIVAS AGRARIAS,942992181,,COOP.MARERIAKI_PERU@HOTMAIL.COM,,20568236115,AVENIDA SANTA ROSA B-17 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA SOSTENIBLE VALLE UBIRIKI,JUNIN,CHANCHAMAYO,PICHANAQUI,COOPERATIVAS AGRARIAS CAFETALERAS,969495033,064-384309,COOPERATIVA@UBIRIKI.COM.PE,WWW.UBIRIKI.COM.PE,20486267934,AVENIDA MARGINAL SN Interior  Piso 1 Mza  Lote  Km 61
COOPERATIVA AGROECOLOGICA DE CAFE DE ORIGEN SELVA CENTRAL,JUNIN,CHANCHAMAYO,PICHANAQUI,COOPERATIVAS AGRARIAS,998444456,,CAECOS-SC@HOTMAIL.COM,WWW.CAECOS.COM,20487224660,AVENIDA MARGINAL 852 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA CAFE Y CACAO RIO NEGRO LTDA.,JUNIN,SATIPO,RIO NEGRO,COOPERATIVAS AGRARIAS CAFETALERAS,988453023,,COOPALRIONEGRO@GMAIL.COM,,20487272800,AVENIDA MARGINAL SN Interior  Piso 1 Mza  Lote  Km 2
COOPERATIVA AGRARIA INTERCULTURAL CAFE Y CACAO DE RIO TAMBO - VRAEM,JUNIN,SATIPO,RIO NEGRO,COOPERATIVAS AGRARIAS,988164819,,CAICC.RIOTAMBO.VRAEM@GMAIL.COM,,20600329848,JIRÓN LOS NOGALES SN Interior  Piso 1 Mza A Lote 3 Km
COOPERATIVA AGROPECUARIA CAFETALERA RIO NEGRO,JUNIN,SATIPO,RIO NEGRO,COOPERATIVAS AGROPECUARIAS,960183989,,CACRIONEGRO-PERU@HOTMAIL.COM,,20487180271,AVENIDA MARGINAL SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE SOCIOS Y EX-SOCIOS BENEFICIARIOS DE CAP OTOPONGO N° 33,LIMA,BARRANCA,BARRANCA,COOPERATIVAS AGRARIAS,977179341,01-2351416,,,20601544335,JIRÓN ANDRES DE LOS REYES 117 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA Y DE SERVICIOS ORO VERDE LTDA.,SAN MARTIN,LAMAS,LAMAS,COOPERATIVAS AGRARIAS CAFETALERAS,977256458,042-543389,OROVERDE@OROVERDE.COM.PE,WWW.OROVERDE.COM.PE,20489109981,JIRÓN SAN MARTIN 514 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA CEPRO YANESHA,PASCO,OXAPAMPA,VILLA RICA,COOPERATIVAS AGRARIAS CAFETALERAS,955989901,063-465073,CEPRO-YANESHA@HOTMAIL.COM,WWW.CEPROYANESHA.COM,20568071281,AVENIDA PUERTO BERMUDES 825 Interior  Piso 1 Mza  Lote  Km
